date,countryId,countryName,totalConfirmed,newConfirmed,totalFatalities,newFatalities,transmissionClassification,daysSinceReported,regionName,isTerritory,updateTime
2020-01-21,US,United States of America,5.0,0.0,0.0,0.0,,,AMRO,,2020-12-13 03:21:59.858
2020-01-22,US,United States of America,5.0,0.0,0.0,0.0,,,AMRO,,2020-12-13 03:21:59.858
2020-01-23,US,United States of America,5.0,0.0,0.0,0.0,,,AMRO,,2020-12-13 03:21:59.858
2020-01-24,US,United States of America,6.0,1.0,0.0,0.0,,,AMRO,,2020-12-13 03:21:59.858
2020-01-25,US,United States of America,6.0,0.0,0.0,0.0,,,AMRO,,2020-12-13 03:21:59.858
2020-01-26,US,United States of America,9.0,3.0,0.0,0.0,,,AMRO,,2020-12-13 03:21:59.858
2020-01-27,US,United States of America,9.0,0.0,0.0,0.0,,,AMRO,,2020-12-13 03:21:59.858
2020-01-28,US,United States of America,9.0,0.0,0.0,0.0,,,AMRO,,2020-12-13 03:21:59.858
2020-01-29,US,United States of America,9.0,0.0,0.0,0.0,,,AMRO,,2020-12-13 03:21:59.858
2020-01-30,US,United States of America,10.0,1.0,0.0,0.0,,,AMRO,,2020-12-13 03:21:59.858
2020-01-31,US,United States of America,11.0,1.0,0.0,0.0,,,AMRO,,2020-12-13 03:21:59.858
2020-02-01,US,United States of America,12.0,1.0,0.0,0.0,,,AMRO,,2020-12-13 03:21:59.858
2020-02-02,US,United States of America,12.0,0.0,0.0,0.0,,,AMRO,,2020-12-13 03:21:59.858
2020-02-03,US,United States of America,15.0,3.0,0.0,0.0,,,AMRO,,2020-12-13 03:21:59.858
2020-02-04,US,United States of America,15.0,0.0,0.0,0.0,,,AMRO,,2020-12-13 03:21:59.858
2020-02-05,US,United States of America,15.0,0.0,0.0,0.0,,,AMRO,,2020-12-13 03:21:59.858
2020-02-06,US,United States of America,16.0,1.0,0.0,0.0,,,AMRO,,2020-12-13 03:21:59.858
2020-02-07,US,United States of America,16.0,0.0,0.0,0.0,,,AMRO,,2020-12-13 03:21:59.858
2020-02-08,US,United States of America,16.0,0.0,0.0,0.0,,,AMRO,,2020-12-13 03:21:59.858
2020-02-09,US,United States of America,16.0,0.0,0.0,0.0,,,AMRO,,2020-12-13 03:21:59.858
2020-02-10,US,United States of America,16.0,0.0,0.0,0.0,,,AMRO,,2020-12-13 03:21:59.858
2020-02-11,US,United States of America,17.0,1.0,0.0,0.0,,,AMRO,,2020-12-13 03:21:59.858
2020-02-12,US,United States of America,17.0,0.0,0.0,0.0,,,AMRO,,2020-12-13 03:21:59.858
2020-02-13,US,United States of America,19.0,2.0,0.0,0.0,,,AMRO,,2020-12-13 03:21:59.858
